room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,last_modified
1783499,4684069,Entire home/apt,Centrum West,11,5,4,3,350,12/28/16
7756807,17258484,Entire home/apt,Centrum West,8,4.5,6,3,484,12/28/16
6154235,25735043,Entire home/apt,Centrum West,12,5,4,2,377,12/28/16
16105897,20863342,Entire home/apt,De Baarsjes / Oud West,0,0,8,4,323,12/28/16
1051514,5788761,Entire home/apt,Centrum West,7,5,4,3,350,12/28/16
4536158,3304389,Entire home/apt,Centrum West,20,4.5,4,2,350,12/28/16
7339232,8405103,Entire home/apt,Centrum West,5,5,4,2,323,12/28/16
1328500,7209768,Entire home/apt,De Baarsjes / Oud West,18,4.5,7,4,323,12/28/16
14175553,85835722,Entire home/apt,De Baarsjes / Oud West,8,4.5,4,2,431,12/28/16
6827912,61977,Entire home/apt,De Baarsjes / Oud West,6,4.5,6,3,377,12/28/16
13925630,1826139,Entire home/apt,Centrum West,1,0,6,4,317,12/28/16
15750595,64608953,Entire home/apt,De Baarsjes / Oud West,1,0,6,3,323,12/28/16
12439960,37637804,Entire home/apt,Westerpark,6,4.5,4,3,474,12/28/16
2469968,682801,Entire home/apt,Centrum West,16,5,4,2,499,12/28/16
3743958,6880046,Entire home/apt,Westerpark,1,0,4,4,435,12/28/16
3793956,3878625,Entire home/apt,Westerpark,10,5,4,3,404,12/28/16
4919001,8177436,Entire home/apt,Westerpark,7,4.5,4,2,431,12/28/16
3119298,15847782,Entire home/apt,Westerpark,1,0,8,3,409,12/28/16
9691443,4361902,Entire home/apt,De Baarsjes / Oud West,38,4.5,4,2,320,12/28/16
13869644,77962832,Entire home/apt,De Baarsjes / Oud West,5,4.5,8,2,431,12/28/16
5663785,1179621,Entire home/apt,De Baarsjes / Oud West,22,4.5,8,4,430,12/28/16
1001004,5396126,Entire home/apt,Westerpark,30,5,16,7,431,12/28/16
2233122,10689469,Entire home/apt,De Baarsjes / Oud West,13,4.5,4,1,323,12/28/16
13575321,77531339,Entire home/apt,De Baarsjes / Oud West,3,4.5,6,3,323,12/28/16
1533609,8154645,Entire home/apt,Bos en Lommer,0,0,5,3,484,12/28/16
14278850,9036375,Entire home/apt,Centrum West,0,0,4,2,435,12/28/16
1383297,4615590,Entire home/apt,Noord West,2,0,8,3,377,12/28/16
1016928,4684764,Entire home/apt,Westerpark,0,0,4,2,377,12/28/16
12598630,68338234,Entire home/apt,Centrum West,15,4.5,8,2,322,12/28/16
7062895,20374689,Entire home/apt,Centrum West,16,5,4,2,323,12/28/16
11335906,55398758,Entire home/apt,Centrum West,12,5,3,1,357,12/28/16
2482541,4577792,Entire home/apt,Westerpark,31,4.5,4,3,484,12/28/16
13087840,12902359,Entire home/apt,Centrum West,4,5,4,2,469,12/28/16
15044856,7369703,Entire home/apt,Centrum West,0,0,2,1,323,12/28/16
14833417,39955289,Entire home/apt,Centrum Oost,0,0,4,3,350,12/28/16
6922393,26254705,Entire home/apt,Centrum West,10,5,8,5,350,12/28/16
6074055,31528424,Entire home/apt,De Baarsjes / Oud West,20,5,4,2,323,12/28/16
9165578,41042925,Entire home/apt,Centrum West,6,4,7,4,377,12/28/16
9454528,6231178,Entire home/apt,Centrum West,12,4.5,5,3,457,12/28/16
15251558,73401457,Entire home/apt,Centrum West,4,5,4,2,376,12/28/16
6737830,5909144,Entire home/apt,Centrum West,0,0,4,2,484,12/28/16
1233809,329249,Entire home/apt,Centrum West,4,5,6,3,393,12/28/16
3497900,14745730,Entire home/apt,De Baarsjes / Oud West,4,4.5,8,4,404,12/28/16
1618249,8088712,Entire home/apt,De Baarsjes / Oud West,8,5,4,2,312,12/28/16
899400,2129974,Entire home/apt,De Baarsjes / Oud West,13,5,6,2,409,12/28/16
7814766,41142102,Entire home/apt,Centrum West,78,4.5,4,2,323,12/28/16
8933102,2699908,Entire home/apt,Centrum West,19,5,4,3,409,12/28/16
7769530,14129659,Entire home/apt,Centrum West,12,5,4,2,372,12/28/16
5478946,757998,Entire home/apt,De Baarsjes / Oud West,0,0,4,2,483,12/28/16
2787342,7639792,Entire home/apt,Westerpark,9,4.5,3,2,323,12/28/16
48076,219080,Entire home/apt,Centrum West,74,5,5,3,323,12/28/16
16460395,89380505,Entire home/apt,Centrum Oost,0,0,4,2,425,12/28/16
15082165,12203707,Entire home/apt,Centrum West,0,0,4,2,323,12/28/16
2436846,82145,Entire home/apt,Centrum West,59,4,4,2,323,12/28/16
1812581,1325697,Entire home/apt,De Baarsjes / Oud West,20,5,4,3,323,12/28/16
1043948,5747929,Entire home/apt,Centrum West,30,4.5,10,5,350,12/28/16
12182342,2921623,Entire home/apt,Centrum West,1,0,4,3,323,12/28/16
12381439,7816122,Entire home/apt,Westerpark,16,4.5,4,3,387,12/28/16
9921636,11044264,Entire home/apt,Centrum West,2,0,4,2,484,12/28/16
9869655,3391774,Entire home/apt,Centrum West,4,5,4,1,317,12/28/16
9506709,49264788,Entire home/apt,Centrum West,18,4.5,8,4,483,12/28/16
14190299,48703385,Entire home/apt,Centrum West,0,0,4,1,404,12/28/16
14192870,48703385,Entire home/apt,Centrum West,0,0,4,2,377,12/28/16
13679189,79624829,Entire home/apt,Centrum West,6,5,5,2,323,12/28/16
307497,1582128,Entire home/apt,Westerpark,55,5,16,10,500,12/28/16
13401057,76278534,Entire home/apt,Centrum West,3,5,2,1,322,12/28/16
